"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 07 06:01:58 UTC 2022","Fri Oct 07 06:03:09 UTC 2022","71130","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:55:24 UTC 2022","Fri Oct 07 05:56:57 UTC 2022","93532","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 06:00:39 UTC 2022","Fri Oct 07 06:01:58 UTC 2022","78937","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 06:04:42 UTC 2022","Fri Oct 07 06:05:55 UTC 2022","73123","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 06:05:55 UTC 2022","Fri Oct 07 06:07:09 UTC 2022","73994","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:59:47 UTC 2022","Fri Oct 07 06:00:39 UTC 2022","51570","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Fri Oct 07 05:57:53 UTC 2022","Fri Oct 07 05:58:52 UTC 2022","59226","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 06:03:09 UTC 2022","Fri Oct 07 06:04:42 UTC 2022","92638","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"skipped","Fri Oct 07 06:07:10 UTC 2022","Fri Oct 07 06:07:21 UTC 2022","11587","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:56:58 UTC 2022","Fri Oct 07 05:57:53 UTC 2022","55143","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Fri Oct 07 05:58:52 UTC 2022","Fri Oct 07 05:59:47 UTC 2022","55125","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
